station_id,station_name,latitude,longitude
DL001,"Alipur, Delhi - DPCC",28.7973118,77.138667
DL002,"Anand Vihar, Delhi - DPCC",28.6466157,77.3155317
DL003,"Ashok Vihar, Delhi - DPCC",28.6885171,77.1739339
DL004,"Aya Nagar, Delhi - IMD",28.4764911,77.1329132
DL005,"Bawana, Delhi - DPCC",28.79966,77.0328847
DL006,"Burari Crossing, Delhi - IMD",28.7285944,77.1993251
DL007,"CRRI Mathura Road, Delhi - IMD",28.5500925,77.2751557
DL008,"DTU, Delhi - CPCB",28.7508153,77.1162765
DL009,"Dr. Karni Singh Shooting Range, Delhi - DPCC",28.5000822,77.2675147
DL010,"Dwarka-Sector 8, Delhi - DPCC",28.5656109,77.0670366
DL011,"East Arjun Nagar, Delhi - CPCB",28.6569534,77.2947178
DL012,"IGI Airport (T3), Delhi - IMD",28.5552482,77.0903517
DL013,"IHBAS, Dilshad Garden, Delhi - CPCB",28.681,77.305
DL014,"ITO, Delhi - CPCB",28.6281909,77.2410437
DL015,"Jahangirpuri, Delhi - DPCC",28.7259717,77.162658
DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",28.5833771,77.2335404
DL017,"Lodhi Road, Delhi - IMD",28.5907833,77.2263179
DL018,"Major Dhyan Chand National Stadium, Delhi - DPCC",28.6126342,77.2373304
DL019,"Mandir Marg, Delhi - DPCC",28.6327433,77.1995521
DL020,"Mundka, Delhi - DPCC",28.6824341,77.0305741
DL021,"NSIT Dwarka, Delhi - CPCB",28.611,77.0385
DL022,"Najafgarh, Delhi - DPCC",28.6124504,76.9865067
DL023,"Narela, Delhi - DPCC",28.8464766,77.0856631
DL024,"Nehru Nagar, Delhi - DPCC",28.5685108,77.2513847
DL025,"North Campus, DU, Delhi - IMD",28.6891,77.2135
DL026,"Okhla Phase-2, Delhi - DPCC",28.5374876,77.2779069
DL027,"Patparganj, Delhi - DPCC",28.6115923,77.2905644
DL028,"Punjabi Bagh, Delhi - DPCC",28.672995,77.1461239
DL029,"Pusa, Delhi - DPCC",28.6362997,77.1576444
DL030,"Pusa, Delhi - IMD",28.6362997,77.1576444
DL031,"R K Puram, Delhi - DPCC",28.5503805,77.1855231
DL032,"Rohini, Delhi - DPCC",28.7063083,77.1087892
DL033,"Shadipur, Delhi - CPCB",28.6515829,77.1582587
DL034,"Sirifort, Delhi - CPCB",28.5501575,77.2249099
DL035,"Sonia Vihar, Delhi - DPCC",28.7199257,77.2481823
DL036,"Sri Aurobindo Marg, Delhi - DPCC",28.5396291,77.2000301
DL037,"Vivek Vihar, Delhi - DPCC",28.6691641,77.312267
DL038,"Wazirpur, Delhi - DPCC",28.6800843,77.1702212
